Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A688905,,10/01/14,3:04PM,Transfer,Partner,Dog,Intact Female,2 years,Belgian Malinois/German Shepherd,Brown/Black
A688996,*Gibson,10/01/14,3:06PM,Transfer,Partner,Dog,Neutered Male,2 years,Golden Retriever Mix,Red
A688232,*Sally,10/01/14,3:08PM,Transfer,Partner,Dog,Spayed Female,5 years,Labrador Retriever Mix,White
A689227,,10/01/14,3:12PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby
A689258,,10/01/14,3:12PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A689259,,10/01/14,3:13PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A689268,,10/01/14,3:19PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A689267,,10/01/14,3:23PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A687211,*Magnolia,10/01/14,3:26PM,Adoption,,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Black
A689054,Chappie,10/01/14,3:48PM,Transfer,Partner,Cat,Spayed Female,7 months,Domestic Shorthair Mix,White/Black
A683921,,10/01/14,3:49PM,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A688774,*Walter,10/01/14,3:49PM,Transfer,Partner,Cat,Neutered Male,10 months,Domestic Longhair Mix,Blue/White
A688523,*Basil,10/01/14,3:50PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A688558,Tiney,10/01/14,3:51PM,Transfer,Partner,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Orange Tabby
A688854,,10/01/14,4:32PM,Transfer,Partner,Dog,Intact Female,3 years,English Bulldog Mix,Black Brindle
A464652,Buddy,10/01/14,4:37PM,Transfer,Partner,Dog,Intact Male,11 years,Border Collie Mix,Black/White
A689269,Mindy,10/01/14,4:52PM,Return to Owner,,Dog,Spayed Female,2 years,Soft Coated Wheaten Terrier Mix,Tan/White
A689226,Bentley,10/01/14,4:58PM,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle/White
A688721,Inky,10/01/14,5:26PM,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black
A688160,*Freddie,10/01/14,6:15PM,Euthanasia,Aggressive,Dog,Intact Male,2 years,American Staffordshire Terrier Mix,Brown/Black
A688309,*Bambi,10/01/14,6:42PM,Euthanasia,Behavior,Dog,Intact Female,2 years,Pit Bull Mix,Fawn/White
A688983,Captain,10/01/14,6:43PM,Adoption,,Dog,Neutered Male,2 years,Miniature Schnauzer/Miniature Poodle,White
A687915,Sammy,10/01/14,6:47PM,Transfer,Partner,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A623101,Cowboy,10/01/14,7:05PM,Adoption,,Dog,Neutered Male,5 years,Presa Canario Mix,Blue Tiger/White
A686637,Percy,10/02/14,7:28AM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A689222,,10/02/14,9:00AM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby
A689221,,10/02/14,9:00AM,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Tortie
A689247,,10/02/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A684027,Lili,10/02/14,9:16AM,Adoption,Foster,Cat,Spayed Female,8 years,Ragdoll Mix,Lynx Point
A688903,*Henry,10/02/14,10:49AM,Return to Owner,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby
A685699,Fuzz,10/02/14,11:02AM,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black
A687574,*Taffy,10/02/14,11:15AM,Transfer,Partner,Dog,Spayed Female,3 years,Staffordshire Mix,Black Brindle/White
A688767,*Tiny Tim,10/02/14,11:35AM,Died,In Foster,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A688342,Mojo,10/02/14,11:36AM,Adoption,,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Black
A686337,Vega,10/02/14,12:14PM,Adoption,,Dog,Intact Female,3 years,German Shepherd,Brown/Black
A677853,*Otto,10/02/14,12:27PM,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull/Catahoula,White/Brown
A688329,Exalibur,10/02/14,12:30PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White
A688330,*Mia,10/02/14,12:31PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
A688883,,10/02/14,12:48PM,Euthanasia,Behavior,Dog,Intact Male,1 year,Pit Bull Mix,Tan/White
A686103,*Bernie,10/02/14,1:18PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A688700,,10/02/14,1:18PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Brown Tabby
A689292,Sachi,10/02/14,1:55PM,Return to Owner,,Dog,Neutered Male,5 years,Dachshund Longhair Mix,Black/Tan
A688931,,10/02/14,2:06PM,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund Mix,Black/Tan
A689245,Nala,10/02/14,2:10PM,Transfer,Partner,Dog,Spayed Female,6 months,Chihuahua Longhair Mix,White
A689144,*Kelly,10/02/14,2:35PM,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Brown/White
A689234,,10/02/14,2:36PM,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Brown/Black
A689239,,10/02/14,2:36PM,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Sable
A689237,,10/02/14,2:36PM,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Black/Brown
A689238,,10/02/14,2:36PM,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Sable/Brown
A689235,,10/02/14,2:36PM,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Black/White
A689236,,10/02/14,2:36PM,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Black/White
A688671,Dobby,10/02/14,2:39PM,Transfer,Partner,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A688673,,10/02/14,2:40PM,Transfer,Partner,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A688664,,10/02/14,2:40PM,Transfer,Partner,Dog,Spayed Female,2 months,Labrador Retriever,Black
A688667,,10/02/14,2:40PM,Transfer,Partner,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black
A688719,*Hank,10/02/14,3:20PM,Adoption,,Dog,Neutered Male,1 year,Dachshund Longhair/Chihuahua Shorthair,Tan/White
A688972,*Spunky,10/02/14,3:29PM,Adoption,,Dog,Neutered Male,1 year,Rat Terrier/Chihuahua Shorthair,White/Black
A673394,Maya,10/02/14,3:58PM,Euthanasia,Suffering,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White
A682183,Roger Roger,10/02/14,4:10PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A689061,,10/02/14,4:14PM,Transfer,Partner,Dog,Intact Male,5 months,Cardigan Welsh Corgi/Chihuahua Shorthair,Buff
A689112,Magnolia,10/02/14,4:57PM,Return to Owner,,Cat,Spayed Female,12 years,Domestic Shorthair Mix,Black
A689028,Sparky,10/02/14,6:07PM,Transfer,Partner,Dog,Neutered Male,5 years,Chihuahua Shorthair,Sable
A689008,*Brooklyn,10/02/14,6:14PM,Transfer,Partner,Dog,Intact Female,1 year,Dogo Argentino Mix,White
A689189,Charlie,10/02/14,6:42PM,Return to Owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair,Brown/White
A689251,Blue,10/02/14,6:45PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A689371,,10/03/14,8:33AM,Euthanasia,Suffering,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A688787,,10/03/14,11:02AM,Transfer,Partner,Dog,Neutered Male,4 years,Labrador Retriever/Great Pyrenees,Buff
A688648,Mick Jagger,10/03/14,11:37AM,Transfer,Partner,Dog,Intact Male,7 years,Chihuahua Longhair Mix,White/Brown
A688506,Cane,10/03/14,12:40PM,Adoption,,Dog,Neutered Male,1 year,Dogo Argentino Mix,White
A688130,*Queen Bee,10/03/14,12:55PM,Transfer,Partner,Dog,Intact Female,7 months,Pit Bull Mix,Brown/White
A641048,Blacky,10/03/14,1:21PM,Return to Owner,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
A689107,Toba,10/03/14,1:37PM,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A689260,Gambit,10/03/14,3:23PM,Return to Owner,,Dog,Neutered Male,5 years,Shetland Sheepdog Mix,Black/Brown
A670089,Lucky,10/03/14,3:31PM,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Sable
A687360,Nila,10/03/14,3:40PM,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
A673898,Blue Eyes,10/03/14,3:40PM,Return to Owner,,Dog,Neutered Male,9 months,Catahoula Mix,White/Brown Brindle
A678954,*Whisper,10/03/14,3:43PM,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Brown Tabby
A686212,*Sophie,10/03/14,3:56PM,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
A686214,*Sam,10/03/14,3:56PM,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A686216,*Sally,10/03/14,3:57PM,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black/White
A686213,*Sylvia,10/03/14,3:57PM,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
A686215,*Sara,10/03/14,3:57PM,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
A689111,,10/03/14,4:25PM,Transfer,Partner,Dog,Spayed Female,1 year,Dachshund Mix,White/Black
A689101,Rylie,10/03/14,4:44PM,Adoption,,Dog,Spayed Female,3 months,Dachshund Mix,Black/Tan
A689103,Sadie,10/03/14,4:54PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Orange/Tan
A689405,,10/03/14,4:58PM,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown
A689370,Spicey,10/03/14,5:03PM,Return to Owner,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
A689106,,10/03/14,5:05PM,Adoption,,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black
A595993,Pluto,10/03/14,5:19PM,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull/Rhod Ridgeback,Red/White
A689082,Boo,10/03/14,5:22PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A688344,*Céline,10/03/14,5:34PM,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Cream Tabby
A688804,,10/03/14,5:51PM,Adoption,,Dog,Neutered Male,8 months,Pit Bull Mix,White/Brown Brindle
A689083,Felix,10/03/14,5:54PM,Adoption,,Dog,Neutered Male,1 year,Manchester Terrier Mix,Black/Tan
A688699,Tigger,10/03/14,6:22PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A688871,Pandora,10/03/14,6:43PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A686635,*Maria,10/03/14,6:44PM,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Fawn
A688878,Jd,10/03/14,6:45PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A689404,Mickey,10/03/14,6:47PM,Return to Owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black
A689320,Sereno,10/03/14,6:58PM,Return to Owner,,Dog,Neutered Male,15 years,Miniature Schnauzer Mix,Gray/White
A663846,Cj,10/03/14,7:04PM,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Buff
A689363,Kitty,10/03/14,7:05PM,Adoption,,Dog,Spayed Female,4 years,Bruss Griffon Mix,Tan
A628159,Delgado,10/04/14,8:52AM,Euthanasia,Aggressive,Dog,Neutered Male,4 years,Carolina Dog Mix,Tan
A689414,,10/04/14,9:00AM,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Blue Tabby/White
A689412,,10/04/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A689402,,10/04/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A689403,,10/04/14,9:00AM,Transfer,SCRP,Cat,Intact Female,6 years,Domestic Shorthair Mix,Calico
A689372,Beamer,10/04/14,11:08AM,Return to Owner,,Dog,Neutered Male,14 years,German Shorthair Pointer,Liver Tick
A688913,,10/04/14,11:10AM,Transfer,Partner,Dog,Neutered Male,8 months,Pit Bull Mix,White/Chocolate
A686556,Oreo,10/04/14,11:19AM,Adoption,Foster,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
A672663,Halo,10/04/14,11:24AM,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black Brindle/White
A688889,,10/04/14,11:24AM,Transfer,Partner,Dog,Intact Female,3 years,German Shepherd Mix,Black/Tan
A688194,Sugar,10/04/14,11:24AM,Transfer,Partner,Dog,Spayed Female,9 months,Labrador Retriever/Border Collie,Black/White
A666371,Bella,10/04/14,11:39AM,Return to Owner,,Dog,Spayed Female,1 year,Border Collie/Great Pyrenees,White/Black
A623561,Marley,10/04/14,11:47AM,Return to Owner,,Dog,Neutered Male,5 years,Pit Bull Mix,Blue/White
A689380,Josephine,10/04/14,11:48AM,Return to Owner,,Dog,Spayed Female,12 years,Jack Russell Terrier Mix,White/Black
A686555,Bella,10/04/14,12:17PM,Adoption,Foster,Cat,Spayed Female,6 months,Domestic Longhair Mix,Torbie
A678664,*Gloria,10/04/14,12:17PM,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A667409,Herby,10/04/14,12:22PM,Return to Owner,,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black
A686810,*Joey,10/04/14,12:33PM,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby
A686811,*Josh,10/04/14,12:33PM,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,White/Orange Tabby
A685923,Rooney,10/04/14,12:36PM,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A689462,Luke,10/04/14,1:26PM,Return to Owner,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Blue Tabby/White
A684608,*Button,10/04/14,1:28PM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A686147,*Andy,10/04/14,1:31PM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A688426,Sadie,10/04/14,1:41PM,Return to Owner,,Dog,Spayed Female,7 months,Chesa Bay Retr/Labrador Retriever,Brown
A680910,Coco,10/04/14,2:03PM,Adoption,Foster,Cat,Spayed Female,4 years,Domestic Shorthair,Calico
A689253,Spider Man,10/04/14,2:07PM,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Black
A689472,,10/04/14,2:17PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Black/White
A689479,,10/04/14,2:27PM,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown
A689473,Chloe,10/04/14,2:56PM,Return to Owner,,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Silver/Tan
A688594,,10/04/14,2:59PM,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black
A689140,Lemmy,10/04/14,3:36PM,Return to Owner,,Dog,Neutered Male,2 years,Shih Tzu,Sable
A689195,,10/04/14,4:20PM,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Black
A662557,Austin,10/04/14,4:22PM,Transfer,Partner,Dog,Neutered Male,6 years,Pit Bull Mix,Blue
A689021,*Rocky,10/04/14,4:24PM,Transfer,Partner,Dog,Neutered Male,10 months,Miniature Pinscher Mix,Black/Tan
A688442,Daisy,10/04/14,4:28PM,Transfer,Partner,Dog,Spayed Female,10 months,Border Terrier Mix,Brown
A684805,Bambi,10/04/14,4:30PM,Adoption,,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White
A689492,,10/04/14,4:35PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A689470,,10/04/14,4:40PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A688524,*Ginny,10/04/14,4:57PM,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black
A647713,Coco,10/04/14,5:00PM,Adoption,Offsite,Dog,Spayed Female,12 years,Chihuahua Shorthair Mix,Chocolate
A689209,,10/04/14,5:08PM,Transfer,Partner,Dog,Spayed Female,1 year,Miniature Poodle Mix,White
A670978,Vivica,10/04/14,5:11PM,Return to Owner,,Dog,Spayed Female,1 year,Great Pyrenees Mix,White
A689081,*Becca,10/04/14,5:18PM,Adoption,,Dog,Spayed Female,8 months,Australian Cattle Dog Mix,Red Merle
A689033,Sabana,10/04/14,5:22PM,Return to Owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Tricolor
A689496,Winston,10/04/14,5:28PM,Euthanasia,Suffering,Dog,Intact Male,10 years,St. Bernard Smooth Coat Mix,White/Brown
A689261,Buddy,10/04/14,5:29PM,Return to Owner,,Dog,Neutered Male,10 months,Dachshund Wirehair Mix,White
A689178,,10/04/14,5:31PM,Adoption,,Dog,Neutered Male,8 months,Dachshund Mix,Tan/White
A688705,Junie,10/04/14,6:02PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
A626847,Sasha,10/04/14,6:27PM,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/White
A688445,Rudy,10/04/14,6:31PM,Adoption,Foster,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Brown Brindle/White
A688427,,10/04/14,6:46PM,Transfer,Partner,Dog,Neutered Male,3 years,American Bulldog Mix,White
A689196,Asma,10/04/14,6:51PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A687062,*Gonzo,10/04/14,6:54PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A688041,Endo,10/04/14,7:13PM,Adoption,,Dog,Neutered Male,8 years,Labrador Retriever/Bloodhound,Red
A689097,,10/04/14,7:15PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A689463,,10/05/14,9:00AM,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
A689392,,10/05/14,9:00AM,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange
A689451,,10/05/14,9:00AM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,White/Brown Tabby
A689469,,10/05/14,9:00AM,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black
A689512,,10/05/14,10:38AM,Euthanasia,Suffering,Cat,Unknown,3 years,Domestic Medium Hair Mix,Buff
A680505,Bernie,10/05/14,11:40AM,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,White/Brown
A689497,Kit Kat,10/05/14,11:52AM,Return to Owner,,Dog,Spayed Female,4 years,Yorkshire Terrier/Miniature Poodle,Brown/Black
A689283,*Dexter,10/05/14,1:09PM,Transfer,Partner,Dog,Intact Male,1 year,Miniature Pinscher Mix,Black/Tan
A689517,,10/05/14,1:21PM,Transfer,Partner,Cat,Intact Female,5 days,Domestic Shorthair Mix,Black
A688519,Sage,10/05/14,2:42PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Cream Tabby
A689197,*Leo,10/05/14,3:05PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A688737,*Piglet,10/05/14,3:09PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A688812,*Tigger,10/05/14,3:10PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby
A688740,*Eeyore,10/05/14,3:10PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A688741,*Kanga,10/05/14,3:10PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A688914,Layla,10/05/14,3:29PM,Adoption,,Dog,Spayed Female,10 months,Miniature Poodle Mix,White
A687786,Lexi,10/05/14,3:57PM,Adoption,,Dog,Spayed Female,5 years,German Shepherd Mix,Tan/Black
A687841,Sunset,10/05/14,4:12PM,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Cream Tabby
A684998,Tiki,10/05/14,4:12PM,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
A689219,*Ryder,10/05/14,4:56PM,Adoption,,Dog,Neutered Male,1 year,Pekingese Mix,White/Buff
A689299,,10/05/14,5:01PM,Adoption,,Dog,Neutered Male,6 years,Shih Tzu,Brown/White
A687432,Rika,10/05/14,5:03PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A689228,Louie,10/05/14,5:09PM,Adoption,,Dog,Neutered Male,4 months,Dachshund/Chihuahua Shorthair,Sable/Tan
A689294,Chalupa Btmn,10/05/14,5:13PM,Adoption,,Dog,Neutered Male,1 year,Dachshund Longhair/Cairn Terrier,Black/White
A689279,Wren,10/05/14,5:24PM,Adoption,,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Brown
A689536,,10/05/14,5:34PM,Euthanasia,Medical,Other,Unknown,1 year,Californian Mix,White
A689134,,10/05/14,5:38PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A689139,,10/05/14,5:41PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A689135,,10/05/14,5:41PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A689090,*Riddle,10/05/14,5:42PM,Adoption,,Dog,Neutered Male,2 months,Redbone Hound Mix,Brown/Black
A689413,Ross,10/05/14,5:44PM,Return to Owner,,Dog,Neutered Male,7 months,German Shepherd Mix,Sable
A689400,Brutus,10/05/14,5:46PM,Return to Owner,,Dog,Neutered Male,6 years,Beagle Mix,Tricolor
A689399,Jax,10/05/14,5:51PM,Return to Owner,,Dog,Neutered Male,3 years,German Shepherd Mix,Black
A688973,*Captain,10/05/14,5:52PM,Adoption,,Dog,Neutered Male,1 year,Chesa Bay Retr Mix,Brown
A689263,*Franklin,10/05/14,5:56PM,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle,White/Black
A689176,Niko,10/05/14,6:03PM,Adoption,,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black
A689436,Mona,10/05/14,6:08PM,Return to Owner,,Dog,Spayed Female,2 years,Rat Terrier Mix,White/Tricolor
A684357,Hudson,10/05/14,6:10PM,Adoption,,Dog,Neutered Male,1 year,Plott Hound Mix,Brown Brindle/White
A688794,Sweetie,10/05/14,6:22PM,Return to Owner,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black
A688352,*Brody,10/05/14,6:29PM,Adoption,,Dog,Neutered Male,5 years,Parson Russell Terrier Mix,White/Brown Brindle
A689522,,10/06/14,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A689520,,10/06/14,9:00AM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby
A689547,,10/06/14,10:42AM,Euthanasia,,Other,Unknown,1 year,Bat,Brown
A568084,Diva,10/06/14,11:02AM,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tricolor
A689442,*Lindy,10/06/14,11:17AM,Transfer,Partner,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tricolor
A688260,*Willy,10/06/14,11:17AM,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown
A688817,*Poppy,10/06/14,11:17AM,Transfer,Partner,Dog,Neutered Male,8 months,Chihuahua Shorthair Mix,Tricolor
A689333,*Boston,10/06/14,11:18AM,Transfer,Partner,Dog,Intact Male,10 months,German Shepherd/Border Collie,Black/Brown
A689448,*Mindy,10/06/14,11:18AM,Transfer,Partner,Dog,Intact Female,3 years,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan
A688930,*Kramer,10/06/14,11:18AM,Transfer,Partner,Dog,Neutered Male,4 months,Black Mouth Cur Mix,Brown
A616559,Stella,10/06/14,1:09PM,Return to Owner,,Dog,Spayed Female,4 years,Pit Bull Mix,White
A687143,*Peony,10/06/14,1:12PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A688399,Goobey,10/06/14,2:02PM,Transfer,Partner,Dog,Neutered Male,7 years,Pembroke Welsh Corgi Mix,Tan
