Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A689268,,10/01/14,2:47PM,11705 Manchaca Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A689269,Mindy,10/01/14,3:00PM,Blue Bluff Rd Manor in Manor (TX),Stray,Normal,Dog,Spayed Female,2 years,Soft Coated Wheaten Terrier Mix,Tan/White
A689270,*Harley,10/01/14,3:26PM,6001 Airport Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Standard Schnauzer/Standard Poodle,Black/Tan
A318500,Tiger,10/01/14,3:41PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,13 years,German Shepherd Mix,Tan
A689274,*Giblet,10/01/14,3:42PM,9102 Shepard Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A689277,*Riblet,10/01/14,3:42PM,9102 Shepard Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
A689276,*Stewart,10/01/14,3:42PM,9102 Shepard Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A689273,*Onyx,10/01/14,3:42PM,9102 Shepard Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Black/White
A689275,*Niblet,10/01/14,3:42PM,9102 Shepard Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A689272,*Raven,10/01/14,3:42PM,9102 Shepard Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A689279,Wren,10/01/14,4:08PM,5603 Tura Ln in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Rat Terrier Mix,White/Brown
A689280,,10/01/14,4:15PM,1003 S 620 Rd in Travis (TX),Stray,Normal,Dog,Intact Male,5 months,German Shepherd Mix,White
A689283,*Dexter,10/01/14,4:18PM,5808 Mckinney Falls Pkwy in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Pinscher Mix,Black/Tan
A689282,*Hannah,10/01/14,4:24PM,1605 Barney Dr in Travis (TX),Stray,Normal,Dog,Intact Female,6 months,Carolina Dog Mix,Brown
A689294,Chalupa Btmn,10/01/14,4:30PM,2107 Dove Springs Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund Longhair/Cairn Terrier,Black/White
A689285,Lady,10/01/14,4:33PM,Larical Trail & Decker Ln in Austin (TX),Stray,Injured,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
A689292,Sachi,10/01/14,4:59PM,Jean Dr & Grady Dr E in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Dachshund Longhair Mix,Black/Tan
A689295,*Shakespeare,10/01/14,5:31PM,2008 Alexander Ave in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A689299,,10/01/14,6:18PM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Shih Tzu,Brown/White
A689296,*Rosie,10/01/14,6:22PM,4509 Southwest Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Chocolate/White
A689298,Kasey,10/01/14,6:29PM,Convict Hill Rd & Poncha Pass in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd Mix,Black/Tan
A679729,Tiger,10/01/14,6:47PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
A688426,Sadie,10/01/14,6:48PM,600 W William Cannon Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,7 months,Chesa Bay Retr/Labrador Retriever,Brown
A689305,*Monte,10/02/14,7:20AM,510 Manchaca in Travis (TX),Stray,Feral,Cat,Intact Male,2 months,Siamese Mix,Lynx Point
A689306,*Vera,10/02/14,8:18AM,17713 Wells Branch Pkwy in Travis (TX),Stray,Sick,Cat,Spayed Female,10 years,Persian Mix,Blue Tabby
A689307,Ross,10/02/14,8:34AM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Brown/Tan
A689313,*Roxanne,10/02/14,10:14AM,4106 N Lamar in Austin (TX),Public Assist,Sick,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A689315,Bibie,10/02/14,10:18AM,4106 N Lamar in Austin (TX),Public Assist,Sick,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
A689316,*Willie,10/02/14,11:02AM,1700 Teri Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black
A689318,Lollipop,10/02/14,11:04AM,1161 Angelina St in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,American Staffordshire Terrier Mix,Blue/White
A689317,*Freddie,10/02/14,11:04AM,1161 Angelina St in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Airedale Terrier Mix,Black/Tan
A689319,Anabele,10/02/14,11:15AM,4604 Gonzales in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Italian Greyhound Mix,Blue/White
A689320,Sereno,10/02/14,11:20AM,2815 E 71 #110 in Austin (TX),Stray,Sick,Dog,Neutered Male,15 years,Miniature Schnauzer Mix,Gray/White
A689322,Boulder,10/02/14,11:22AM,12700 Hill Country Blvd in Bee Cave (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Boxer,Brown Brindle
A677853,*Otto,10/02/14,11:27AM,Manor (TX),Stray,Normal,Dog,Neutered Male,1 year,Pit Bull/Catahoula,White/Brown
A689321,Zeus,10/02/14,11:31AM,Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Tan/White
A689324,*Wrigley,10/02/14,11:58AM,Thompson Lane in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Tricolor
A689039,Bruno,10/02/14,12:25PM,Pflugerville (TX),Stray,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
A689328,*Mason,10/02/14,1:07PM,11106 Persimmon in Austin (TX),Stray,Sick,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A688442,Daisy,10/02/14,1:40PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,9 months,Border Terrier Mix,Brown
A689332,Harley,10/02/14,1:58PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,9 months,Labrador Retriever Mix,Chocolate/White
A689194,*Nimby,10/02/14,2:06PM,Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Labrador Retriever Mix,White/Brown
A689333,*Boston,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,9 months,German Shepherd/Border Collie,Black/Brown
A689343,*Rainn,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Female,2 months,Border Collie Mix,Black/White
A689344,*Griff,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Border Collie/German Shepherd,Black/Tricolor
A689336,*Jethro,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,German Shepherd Mix,Tricolor
A689337,*Eva,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Female,2 months,Border Collie Mix,Chocolate/White
A689338,*Jaxon,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Border Collie/German Shepherd,Black/White
A689335,*Bo,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,German Shepherd/Border Collie,Tricolor
A689350,Gatsby,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Border Collie/German Shepherd,Black/Tricolor
A689341,*Storm,10/02/14,2:09PM,21506 Ann Showers in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Border Collie/German Shepherd,Black/Tricolor
A682183,Roger Roger,10/02/14,2:15PM,Far West And Wood Hollow in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A689342,Harley,10/02/14,2:17PM,7115 Dee Gabriel Collins Rd in Austin (TX),Stray,Injured,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
A689348,*Maggie,10/02/14,2:23PM,2900 Century Park Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby
A689340,*Rick,10/02/14,2:23PM,2900 Century Park Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A689347,*Glen,10/02/14,2:23PM,2900 Century Park Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Longhair Mix,Orange Tabby
A689349,*Michonne,10/02/14,2:23PM,2900 Century Park Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Siamese Mix,Tortie Point
A689346,*Daryl,10/02/14,2:23PM,2900 Century Park Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Orange Tabby/White
A689351,*Iron Man,10/02/14,2:38PM,5508 Icon St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Tan/White
A689354,*Jo,10/02/14,3:42PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Black
A689355,*Watson,10/02/14,3:42PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Black
A641048,Blacky,10/02/14,4:05PM,124 W Anderson in Austin (TX),Stray,Normal,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
A689242,Seamus,10/02/14,4:23PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,9 years,Australian Cattle Dog,Red Tick
A689361,Sam,10/02/14,5:18PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Bruss Griffon Mix,Brown
A689363,Kitty,10/02/14,5:18PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Bruss Griffon Mix,Tan
A689362,Pookie,10/02/14,5:18PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White
A689314,Dozian,10/02/14,6:25PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White
A689370,Spicey,10/02/14,6:52PM,Austin (TX),Stray,Normal,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
A689369,*Elmer,10/02/14,6:53PM,13401 Elm Grove Rd in Mustang Ridge (TX),Stray,Normal,Dog,Intact Male,4 years,Pit Bull Mix,Red/White
A689371,,10/02/14,7:30PM,3516 Sand Dunes in Austin (TX),Stray,Sick,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A689372,Beamer,10/02/14,11:34PM,Parmer And Metric in Austin (TX),Stray,Normal,Dog,Neutered Male,14 years,German Shorthair Pointer,Liver Tick
A689374,*Kelly,10/02/14,11:41PM,4434 Frontier Trl in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
A689373,Tre,10/03/14,7:53AM,9903 Cheryl Lynn in Austin (TX),Stray,Sick,Cat,Intact Male,6 months,Siamese Mix,Flame Point
A689378,,10/03/14,8:03AM,510 Hickory Ridge, Manchaca in Travis (TX),Stray,Injured,Cat,Intact Male,2 months,Domestic Shorthair Mix
A625823,Blanca,10/03/14,9:55AM,2401 Lakeshore in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Miniature Poodle,White
A689380,Josephine,10/03/14,10:33AM,12336 N Mopac Exprway in Austin (TX),Stray,Normal,Dog,Spayed Female,12 years,Jack Russell Terrier Mix,White/Black
A667409,Herby,10/03/14,10:37AM,3200 Tom Green in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black
A689382,,10/03/14,11:00AM,Pleasant Valley Rd & Onion Creek Dr in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Cairn Terrier Mix,Silver
A687360,Nila,10/03/14,11:01AM,7318 Onion Creek Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
A673898,Blue Eyes,10/03/14,11:01AM,7318 Onion Creek Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,9 months,Catahoula Mix,White/Brown Brindle
A689383,Gilly,10/03/14,11:14AM,5500 Ross Rd in Travis (TX),Stray,Normal,Dog,Intact Female,9 months,Miniature Poodle Mix,Apricot
A689387,,10/03/14,11:16AM,13101 Old Kimbro Rd in Manor (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,White/Blue
A689384,Lucas,10/03/14,11:21AM,5106 Village Square Dr in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Labrador Retriever/Plott Hound,Brown Brindle
A675008,Lulu,10/03/14,12:05PM,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,8 months,Chihuahua Shorthair/Dachshund,Black/Brown
A689391,,10/03/14,12:33PM,3110 Plantation Rd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A689390,Jules,10/03/14,12:34PM,Blocker Ln, Austin, Tx in Travis (TX),Stray,Normal,Dog,Intact Female,1 year
A689393,,10/03/14,12:52PM,4360 South Congress Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chow Chow Mix,Gold
A689392,,10/03/14,12:56PM,4402 Hayride Ln in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange
A672743,Delta,10/03/14,1:12PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
A689394,,10/03/14,1:28PM,West Stassney Lane in Austin (TX),Stray,Sick,Dog,Intact Male,4 months,Pit Bull Mix,White/Black
A582002,Rocky,10/03/14,1:47PM,Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,5 years,German Shepherd/Labrador Retriever,Brown/Tan
A686203,*Storm,10/03/14,2:03PM,Austin (TX),Owner Surrender,Injured,Dog,Spayed Female,3 months,Pit Bull Mix,Black/White
A628159,Delgado,10/03/14,2:04PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,4 years,Carolina Dog Mix,Tan
A689291,Jolene,10/03/14,2:10PM,Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Boxer Mix,Brown/White
A689397,*Doodle,10/03/14,2:29PM,8127 Mesa Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A688594,,10/03/14,2:56PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black
A689398,*Buster,10/03/14,2:58PM,Skyway Cir And Barton Skyway in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,American Bulldog Mix,Black/White
A689400,Brutus,10/03/14,3:06PM,1109 Canon Yeoman Trl in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Beagle Mix,Tricolor
A689399,Jax,10/03/14,3:06PM,1109 Canon Yeoman Trl in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd Mix,Black
A689401,*Rocco,10/03/14,3:22PM,4902 Teri Rd in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Rottweiler/Labrador Retriever,Black/Tan
A689402,,10/03/14,3:36PM,1422 Northridge in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A689404,Mickey,10/03/14,3:41PM,13016 S Madrone Trl in Austin (TX),Stray,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black
A689403,,10/03/14,4:20PM,2613 W 49Th St in Austin (TX),Stray,Normal,Cat,Intact Female,6 years,Domestic Shorthair Mix,Calico
A689408,*Gypsy,10/03/14,4:30PM,2329 Bendridge in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A689406,*Sebastian,10/03/14,4:39PM,1802 Haskell St in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Pit Bull Mix,Blue/White
A689405,,10/03/14,4:40PM,500 E Cesar Chavez in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat Mix,Brown
A591420,Bella,10/03/14,5:18PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,6 years,Domestic Longhair Mix,Black
A666638,*Wyatt,10/03/14,5:36PM,Childress Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby
A689411,Bam Bam,10/03/14,5:44PM,Cesar Chavez And Chalmers in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever/Basset Hound,Buff
A689412,,10/03/14,5:58PM,2329 Benridge Trl in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A666371,Bella,10/03/14,6:24PM,Daugherty And Greenlawn in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Border Collie/Great Pyrenees,White/Black
A689413,Ross,10/03/14,6:39PM,Avenue F And North Loop in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,German Shepherd Mix,Sable
A689414,,10/03/14,6:50PM,2606 E 2Nd St in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Blue Tabby/White
A689417,*Franky,10/03/14,6:59PM,4502 Acres Ln in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
A689418,,10/03/14,6:59PM,4502 Acres Ln in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
A689416,Moo,10/03/14,6:59PM,4502 Acres Ln in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White
A689415,,10/03/14,6:59PM,4502 Acres Ln in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A689419,*Lucy,10/03/14,7:01PM,East 8Th St in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A689422,*Belle,10/03/14,10:34PM,12310 Hulsey Rd in Travis (TX),Stray,Normal,Dog,Intact Female,6 years,Pit Bull Mix,Blue/White
A686510,Smokey,10/04/14,2:03AM,911 Peggotty Pl in Austin (TX),Public Assist,Normal,Dog,Intact Male,5 years,Pit Bull Mix,Blue/White
A689436,Mona,10/04/14,10:44AM,Hogeye/Decker Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Rat Terrier Mix,White/Tricolor
A689439,*Dizzy,10/04/14,11:12AM,1161 Eastfield Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White
A689441,*Amelia,10/04/14,11:14AM,Slaughter Ln And Mopac in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Doberman Pinsch Mix,Tricolor
A689444,*Josh,10/04/14,11:14AM,Slaughter Ln And Mopac in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Doberman Pinsch Mix,Black/Tan
A689443,,10/04/14,11:14AM,Slaughter Ln And Mopac in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Doberman Pinsch Mix,Black/Tan
A689440,*Boots,10/04/14,11:14AM,Slaughter Ln And Mopac in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Doberman Pinsch Mix,Tricolor
A689438,*Otto,10/04/14,11:18AM,2804 Ware in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,American Pit Bull Terrier Mix,Brown Brindle/White
A683832,Zoey,10/04/14,11:26AM,1009 W Dittmar Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,6 months,Bulldog Mix,Tricolor
A689447,*Izzy,10/04/14,11:29AM,9520 Quail Ct in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
A689446,*Dizzy,10/04/14,11:29AM,9520 Quail Ct in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
A689445,*Mindy,10/04/14,11:29AM,9520 Quail Ct in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A689450,*Tizzy,10/04/14,11:29AM,9520 Quail Ct in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue/White
A689448,*Mindy,10/04/14,11:29AM,6701 Galindo St in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Yorkshire Terrier/Chihuahua Shorthair,Black/Tan
A689442,*Lindy,10/04/14,11:29AM,6701 Galindo St in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tricolor
A689449,*Bizzy,10/04/14,11:29AM,9520 Quail Ct in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A689451,,10/04/14,11:34AM,2329 Benridge Trl in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,White/Brown Tabby
A689452,*Eddie,10/04/14,11:39AM,6704 Galindo St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Dachshund Mix,Brown/White
A689456,*Mary Lou,10/04/14,11:43AM,601 East Saint Johns Avenue in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Australian Cattle Dog/Cardigan Welsh Corgi,Blue Merle
A689454,Stacks,10/04/14,11:49AM,118616 Plains Valley Dr in Travis (TX),Stray,Normal,Dog,Intact Male,9 months,Pit Bull Mix,Blue/White
A689455,*Monty,10/04/14,11:53AM,12824 New Katy Ln in Travis (TX),Stray,Normal,Dog,Intact Male,6 months,Catahoula Mix,White/Brown
A685923,Rooney,10/04/14,12:03PM,Cedar Park (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A689460,Rambo,10/04/14,12:06PM,12213 Antoinette Place in Austin (TX),Stray,Normal,Dog,Intact Male,6 years,Norfolk Terrier Mix,Tricolor
